basedir,bdf,video,duration
Sessions/1956,Part_16_S_Trial3_emotion,P16-Rec1-2009.08.27.12.02.50_C1 trigger _C_Section_6,138
Sessions/2902,Part_23_Trial1_taggingImages1,P23-Rec2-2009.09.01.10.51.55_C1 trigger _C_Section_2,15
Sessions/1499,Part_12_Trial28_taggingImages1,P12-Rec2-2009.08.26.12.19.18_C1 trigger _C_Section_29,11
Sessions/2772,Part_22_Trial1_taggingImages1,P22-Rec2-2009.08.31.17.21.53_C1 trigger _C_Section_2,12
Sessions/2008,Part_16_Trial17_taggingImages1,P16-Rec2-2009.08.27.12.51.34_C1 trigger _C_Section_18,11
Sessions/1739,Part_14_Trial8_taggingImages1,P14-Rec2-2009.08.26.17.21.15_C1 trigger _C_Section_9,11
Sessions/2011,Part_16_Trial20_taggingImages1,P16-Rec2-2009.08.27.12.51.34_C1 trigger _C_Section_21,10
Sessions/1128,Part_9_Trial17_taggingImages2,P9-Rec3-2009.07.23.15.47.12_C1 trigger _C_Section_18,11
Sessions/2863,Part_23_N_Trial2_emotion,P23-Rec1-2009.09.01.10.02.05_C1 trigger _C_Section_3,17
Sessions/2376,Part_19_S_Trial18_emotion,P19-Rec1-2009.08.28.16.34.00_C1 trigger _C_Section_36,98
Sessions/1218,Part_10_Trial7_taggingImages1,P10-Rec2-2009.07.23.17.37.56_C1 trigger _C_Section_8,11
Sessions/199,Part_2_Trial28_taggingImages1,P2-Rec2-2009.07.10.16.34.31_C1 trigger _C_Section_29,16
Sessions/598,Part_5_Trial7_taggingImages2,P5-Rec3-2009.07.22.13.11.59_C1 trigger _C_Section_8,11
Sessions/2698,Part_21_Trial27_taggingImages2,P21-Rec3-2009.08.31.15.19.32_C1 trigger _C_Section_28,11
Sessions/2069,Part_16_Trial18_taggingVideos,P16-Rec4-2009.08.27.13.03.52_C1 trigger _C_Section_19,12
Sessions/2953,Part_23_Trial22_taggingImages2,P23-Rec3-2009.09.01.10.58.14_C1 trigger _C_Section_23,11
Sessions/1729,Part_14_N_Trial20_emotion,P14-Rec1-2009.08.26.16.33.03_C1 trigger _C_Section_39,22
Sessions/3162,Part_25_Trial1_taggingImages1,P25-Rec2-2009.09.01.15.38.25_C1 trigger _C_Section_2,14
Sessions/3052,Part_24_Trial21_taggingImages1,P24-Rec2-2009.09.01.12.48.07_C1 trigger _C_Section_22,13
Sessions/1700,Part_14_S_Trial5_emotion,P14-Rec1-2009.08.26.16.33.03_C1 trigger _C_Section_10,121
Sessions/3542,Part_28_S_Trial16_emotion,P28-Rec1-2009.09.02.18.36.41_C1 trigger _C_Section_32,133
Sessions/859,Part_7_Trial8_taggingImages2,P7-Rec3-2009.07.22.17.43.52_C1 trigger _C_Section_9,11
Sessions/68,Part_1_Trial27_taggingImages1,P1-Rec2-2009.07.09.18.44.59_C1 trigger _C_Section_28,11
Sessions/1105,Part_9_Trial24_taggingImages1,P9-Rec2-2009.07.23.15.39.13_C1 trigger _C_Section_25,11
Sessions/3219,Part_25_Trial28_taggingImages2,P25-Rec3-2009.09.01.15.44.55_C1 trigger _C_Section_29,11
Sessions/3183,Part_25_Trial22_taggingImages1,P25-Rec2-2009.09.01.15.38.25_C1 trigger _C_Section_23,12
Sessions/2744,Part_22_S_Trial7_emotion,P22-Rec1-2009.08.31.16.37.14_C1 trigger _C_Section_14,107
Sessions/3102,Part_24_Trial11_taggingVideos,P24-Rec4-2009.09.01.13.00.44_C1 trigger _C_Section_12,12
Sessions/289,Part_3_N_Trial15_emotion,P3-Rec1-2009.07.21.15.09.17_C1 trigger _C_Section_29,22
Sessions/2844,Part_22_Trial13_taggingVideos,P22-Rec4-2009.08.31.17.33.45_C1 trigger _C_Section_14,11
Sessions/2073,Part_16_Trial22_taggingVideos,P16-Rec4-2009.08.27.13.03.52_C1 trigger _C_Section_23,11
Sessions/314,Part_3_Trial13_taggingImages1,P3-Rec2-2009.07.21.16.11.18_C1 trigger _C_Section_14,11
Sessions/2250,Part_18_S_Trial20_emotion,P18-Rec1-2009.08.28.11.27.02_C1 trigger _C_Section_40,103
Sessions/241,Part_2_Trial10_taggingVideos,P2-Rec4-2009.07.10.16.47.27_C1 trigger _C_Section_11,16
Sessions/2347,Part_19_N_Trial4_emotion,P19-Rec1-2009.08.28.16.34.00_C1 trigger _C_Section_7,22
Sessions/2178,Part_17_Trial27_taggingImages2,P17-Rec3-2009.08.28.10.31.45_C1 trigger _C_Section_28,11
Sessions/1618,Part_13_Trial17_taggingImages1,P13-Rec2-2009.08.26.15.20.24_C1 trigger _C_Section_18,14
Sessions/2026,Part_16_Trial5_taggingImages2,P16-Rec3-2009.08.27.12.57.56_C1 trigger _C_Section_6,11
Sessions/2726,Part_21_Trial25_taggingVideos,P21-Rec4-2009.08.31.15.25.35_C1 trigger _C_Section_26,12
Sessions/807,Part_7_N_Trial14_emotion,P7-Rec1-2009.07.22.16.46.48_C1 trigger _C_Section_27,18
Sessions/1993,Part_16_Trial2_taggingImages1,P16-Rec2-2009.08.27.12.51.34_C1 trigger _C_Section_3,11
Sessions/2963,Part_23_Trial2_taggingVideos,P23-Rec4-2009.09.01.11.04.38_C1 trigger _C_Section_3,14
Sessions/3838,Part_30_Trial27_taggingImages1,P30-Rec2-2009.09.03.15.12.12_C1 trigger _C_Section_28,14
Sessions/1342,Part_11_Trial1_taggingImages1,P11-Rec2-2009.07.24.11.21.50_C1 trigger _C_Section_2,13
Sessions/3227,Part_25_Trial6_taggingVideos,P25-Rec4-2009.09.01.15.51.22_C1 trigger _C_Section_7,12
Sessions/3209,Part_25_Trial18_taggingImages2,P25-Rec3-2009.09.01.15.44.55_C1 trigger _C_Section_19,14
Sessions/2754,Part_22_S_Trial12_emotion,P22-Rec1-2009.08.31.16.37.14_C1 trigger _C_Section_24,92
Sessions/1168,Part_9_Trial27_taggingVideos,P9-Rec4-2009.07.23.15.54.20_C1 trigger _C_Section_28,16
Sessions/1363,Part_11_Trial22_taggingImages1,P11-Rec2-2009.07.24.11.21.50_C1 trigger _C_Section_23,12
Sessions/1274,Part_10_Trial3_taggingVideos,P10-Rec4-2009.07.23.17.50.59_C1 trigger _C_Section_4,15
Sessions/1697,Part_14_N_Trial4_emotion,P14-Rec1-2009.08.26.16.33.03_C1 trigger _C_Section_7,22
Sessions/1954,Part_16_S_Trial2_emotion,P16-Rec1-2009.08.27.12.02.50_C1 trigger _C_Section_4,108
Sessions/3500,Part_27_Trial19_taggingVideos,P27-Rec4-2009.09.02.17.38.20_C1 trigger _C_Section_20,13
Sessions/2682,Part_21_Trial11_taggingImages2,P21-Rec3-2009.08.31.15.19.32_C1 trigger _C_Section_12,11
Sessions/1719,Part_14_N_Trial15_emotion,P14-Rec1-2009.08.26.16.33.03_C1 trigger _C_Section_29,20
Sessions/2612,Part_21_S_Trial6_emotion,P21-Rec1-2009.08.31.14.23.22_C1 trigger _C_Section_12,117
Sessions/565,Part_5_Trial4_taggingImages1,P5-Rec2-2009.07.22.13.04.36_C1 trigger _C_Section_5,12
Sessions/665,Part_6_N_Trial8_emotion,P6-Rec1-2009.07.22.14.39.28_C1 trigger _C_Section_15,23
Sessions/3307,Part_26_Trial16_taggingImages1,P26-Rec2-2009.09.01.17.33.19_C1 trigger _C_Section_17,11
Sessions/924,Part_8_S_Trial7_emotion,P8-Rec1-2009.07.23.13.03.17_C1 trigger _C_Section_14,150
Sessions/861,Part_7_Trial10_taggingImages2,P7-Rec3-2009.07.22.17.43.52_C1 trigger _C_Section_11,11
Sessions/2212,Part_18_S_Trial1_emotion,P18-Rec1-2009.08.28.11.27.02_C1 trigger _C_Section_2,123
Sessions/1268,Part_10_Trial27_taggingImages2,P10-Rec3-2009.07.23.17.44.24_C1 trigger _C_Section_28,11
Sessions/1703,Part_14_N_Trial7_emotion,P14-Rec1-2009.08.26.16.33.03_C1 trigger _C_Section_13,20
Sessions/1755,Part_14_Trial24_taggingImages1,P14-Rec2-2009.08.26.17.21.15_C1 trigger _C_Section_25,11
Sessions/2457,Part_19_Trial16_taggingVideos,P19-Rec4-2009.08.28.17.33.30_C1 trigger _C_Section_17,14
Sessions/2156,Part_17_Trial5_taggingImages2,P17-Rec3-2009.08.28.10.31.45_C1 trigger _C_Section_6,11
Sessions/1720,Part_14_S_Trial15_emotion,P14-Rec1-2009.08.26.16.33.03_C1 trigger _C_Section_30,74
Sessions/3441,Part_27_Trial20_taggingImages1,P27-Rec2-2009.09.02.17.26.14_C1 trigger _C_Section_21,11
Sessions/2904,Part_23_Trial3_taggingImages1,P23-Rec2-2009.09.01.10.51.55_C1 trigger _C_Section_4,11
Sessions/167,Part_2_N_Trial19_emotion,P2-Rec1-2009.07.10.15.42.44_C1 trigger _C_Section_37,21
Sessions/3516,Part_28_S_Trial3_emotion,P28-Rec1-2009.09.02.18.36.41_C1 trigger _C_Section_6,68
Sessions/649,Part_5_Trial28_taggingVideos,P5-Rec4-2009.07.22.13.18.37_C1 trigger _C_Section_29,14
Sessions/2462,Part_19_Trial21_taggingVideos,P19-Rec4-2009.08.28.17.33.30_C1 trigger _C_Section_22,12
Sessions/49,Part_1_Trial8_taggingImages1,P1-Rec2-2009.07.09.18.44.59_C1 trigger _C_Section_9,11
Sessions/3070,Part_24_Trial9_taggingImages2,P24-Rec3-2009.09.01.12.54.27_C1 trigger _C_Section_10,11
Sessions/2124,Part_17_Trial3_taggingImages1,P17-Rec2-2009.08.28.10.25.21_C1 trigger _C_Section_4,11
Sessions/1246,Part_10_Trial5_taggingImages2,P10-Rec3-2009.07.23.17.44.24_C1 trigger _C_Section_6,12
Sessions/2648,Part_21_Trial7_taggingImages1,P21-Rec2-2009.08.31.15.13.20_C1 trigger _C_Section_8,11
Sessions/3129,Part_25_N_Trial5_emotion,P25-Rec1-2009.09.01.14.47.38_C1 trigger _C_Section_9,20
Sessions/3778,Part_30_S_Trial4_emotion,P30-Rec1-2009.09.03.14.25.18_C1 trigger _C_Section_8,129
Sessions/1972,Part_16_S_Trial11_emotion,P16-Rec1-2009.08.27.12.02.50_C1 trigger _C_Section_22,105
Sessions/1333,Part_11_N_Trial17_emotion,P11-Rec1-2009.07.24.10.27.36_C1 trigger _C_Section_33,21
Sessions/395,Part_4_N_Trial3_emotion,P4-Rec1-2009.07.21.17.46.06_C1 trigger _C_Section_5,21
Sessions/1603,Part_13_Trial2_taggingImages1,P13-Rec2-2009.08.26.15.20.24_C1 trigger _C_Section_3,13
Sessions/369,Part_3_Trial8_taggingVideos,P3-Rec4-2009.07.21.16.26.01_C1 trigger _C_Section_9,13
Sessions/1297,Part_10_Trial26_taggingVideos,P10-Rec4-2009.07.23.17.50.59_C1 trigger _C_Section_27,15
Sessions/2042,Part_16_Trial21_taggingImages2,P16-Rec3-2009.08.27.12.57.56_C1 trigger _C_Section_22,11
Sessions/2039,Part_16_Trial18_taggingImages2,P16-Rec3-2009.08.27.12.57.56_C1 trigger _C_Section_19,11
Sessions/2185,Part_17_Trial4_taggingVideos,P17-Rec4-2009.08.28.10.38.02_C1 trigger _C_Section_5,13
Sessions/1771,Part_14_Trial10_taggingImages2,P14-Rec3-2009.08.26.17.27.33_C1 trigger _C_Section_11,11
Sessions/1992,Part_16_Trial1_taggingImages1,P16-Rec2-2009.08.27.12.51.34_C1 trigger _C_Section_2,11
Sessions/3489,Part_27_Trial8_taggingVideos,P27-Rec4-2009.09.02.17.38.20_C1 trigger _C_Section_9,9
Sessions/3080,Part_24_Trial19_taggingImages2,P24-Rec3-2009.09.01.12.54.27_C1 trigger _C_Section_20,11
Sessions/2526,Part_20_Trial15_taggingImages1,P20-Rec2-2009.08.31.11.26.53_C1 trigger _C_Section_16,11
Sessions/872,Part_7_Trial21_taggingImages2,P7-Rec3-2009.07.22.17.43.52_C1 trigger _C_Section_22,11
Sessions/510,Part_4_Trial19_taggingVideos,P4-Rec4-2009.07.21.18.57.23_C1 trigger _C_Section_20,15
Sessions/2304,Part_18_Trial23_taggingImages2,P18-Rec3-2009.08.28.12.20.48_C1 trigger _C_Section_24,11
Sessions/2000,Part_16_Trial9_taggingImages1,P16-Rec2-2009.08.27.12.51.34_C1 trigger _C_Section_10,10
Sessions/414,Part_4_S_Trial12_emotion,P4-Rec1-2009.07.21.17.46.06_C1 trigger _C_Section_24,140
Sessions/2036,Part_16_Trial15_taggingImages2,P16-Rec3-2009.08.27.12.57.56_C1 trigger _C_Section_16,10
Sessions/56,Part_1_Trial15_taggingImages1,P1-Rec2-2009.07.09.18.44.59_C1 trigger _C_Section_16,10
Sessions/3331,Part_26_Trial10_taggingImages2,P26-Rec3-2009.09.01.17.39.34_C1 trigger _C_Section_11,11
Sessions/3401,Part_27_N_Trial11_emotion,P27-Rec1-2009.09.02.16.36.05_C1 trigger _C_Section_21,20
Sessions/2768,Part_22_S_Trial19_emotion,P22-Rec1-2009.08.31.16.37.14_C1 trigger _C_Section_38,79
Sessions/2597,Part_20_Trial26_taggingVideos,P20-Rec4-2009.08.31.11.39.35_C1 trigger _C_Section_27,12
Sessions/2980,Part_23_Trial19_taggingVideos,P23-Rec4-2009.09.01.11.04.38_C1 trigger _C_Section_20,12
Sessions/1001,Part_8_Trial20_taggingImages2,P8-Rec3-2009.07.23.14.00.08_C1 trigger _C_Section_21,11
Sessions/1362,Part_11_Trial21_taggingImages1,P11-Rec2-2009.07.24.11.21.50_C1 trigger _C_Section_22,12
Sessions/470,Part_4_Trial9_taggingImages2,P4-Rec3-2009.07.21.18.50.11_C1 trigger _C_Section_10,11
Sessions/1317,Part_11_N_Trial9_emotion,P11-Rec1-2009.07.24.10.27.36_C1 trigger _C_Section_17,21
Sessions/1998,Part_16_Trial7_taggingImages1,P16-Rec2-2009.08.27.12.51.34_C1 trigger _C_Section_8,11
Sessions/2099,Part_17_N_Trial10_emotion,P17-Rec1-2009.08.28.09.35.38_C1 trigger _C_Section_19,17
Sessions/2632,Part_21_S_Trial16_emotion,P21-Rec1-2009.08.31.14.23.22_C1 trigger _C_Section_32,112
Sessions/3701,Part_29_Trial20_taggingImages1,P29-Rec2-2009.09.03.12.37.52_C1 trigger _C_Section_21,11
Sessions/958,Part_8_Trial7_taggingImages1,P8-Rec2-2009.07.23.13.53.14_C1 trigger _C_Section_8,11
Sessions/2474,Part_20_S_Trial2_emotion,P20-Rec1-2009.08.31.10.38.29_C1 trigger _C_Section_4,162
Sessions/3128,Part_25_S_Trial4_emotion,P25-Rec1-2009.09.01.14.47.38_C1 trigger _C_Section_8,85
Sessions/603,Part_5_Trial12_taggingImages2,P5-Rec3-2009.07.22.13.11.59_C1 trigger _C_Section_13,11
Sessions/3423,Part_27_Trial2_taggingImages1,P27-Rec2-2009.09.02.17.26.14_C1 trigger _C_Section_3,11
Sessions/204,Part_2_Trial3_taggingImages2,P2-Rec3-2009.07.10.16.41.03_C1 trigger _C_Section_4,12
Sessions/748,Part_6_Trial27_taggingImages2,P6-Rec3-2009.07.22.15.44.55_C1 trigger _C_Section_28,11
Sessions/2827,Part_22_Trial26_taggingImages2,P22-Rec3-2009.08.31.17.27.47_C1 trigger _C_Section_27,11
Sessions/3447,Part_27_Trial26_taggingImages1,P27-Rec2-2009.09.02.17.26.14_C1 trigger _C_Section_27,11
Sessions/3026,Part_24_S_Trial18_emotion,P24-Rec1-2009.09.01.11.59.10_C1 trigger _C_Section_36,92
Sessions/2640,Part_21_S_Trial20_emotion,P21-Rec1-2009.08.31.14.23.22_C1 trigger _C_Section_40,121
Sessions/1520,Part_12_Trial19_taggingImages2,P12-Rec3-2009.08.26.12.25.38_C1 trigger _C_Section_20,11
Sessions/3475,Part_27_Trial24_taggingImages2,P27-Rec3-2009.09.02.17.32.21_C1 trigger _C_Section_25,11
Sessions/5,Part_1_N_Trial3_emotion,P1-Rec1-2009.07.09.17.53.46_C1 trigger _C_Section_5,21
Sessions/2707,Part_21_Trial6_taggingVideos,P21-Rec4-2009.08.31.15.25.35_C1 trigger _C_Section_7,12
Sessions/291,Part_3_N_Trial16_emotion,P3-Rec1-2009.07.21.15.09.17_C1 trigger _C_Section_31,24
Sessions/2841,Part_22_Trial10_taggingVideos,P22-Rec4-2009.08.31.17.33.45_C1 trigger _C_Section_11,12
Sessions/697,Part_6_Trial6_taggingImages1,P6-Rec2-2009.07.22.15.37.28_C1 trigger _C_Section_7,11
Sessions/2539,Part_20_Trial28_taggingImages1,P20-Rec2-2009.08.31.11.26.53_C1 trigger _C_Section_29,15
Sessions/489,Part_4_Trial28_taggingImages2,P4-Rec3-2009.07.21.18.50.11_C1 trigger _C_Section_29,12
Sessions/1609,Part_13_Trial8_taggingImages1,P13-Rec2-2009.08.26.15.20.24_C1 trigger _C_Section_9,12
Sessions/2452,Part_19_Trial11_taggingVideos,P19-Rec4-2009.08.28.17.33.30_C1 trigger _C_Section_12,12
Sessions/2111,Part_17_N_Trial16_emotion,P17-Rec1-2009.08.28.09.35.38_C1 trigger _C_Section_31,22
Sessions/2047,Part_16_Trial26_taggingImages2,P16-Rec3-2009.08.27.12.57.56_C1 trigger _C_Section_27,10
Sessions/2719,Part_21_Trial18_taggingVideos,P21-Rec4-2009.08.31.15.25.35_C1 trigger _C_Section_19,12
Sessions/2294,Part_18_Trial13_taggingImages2,P18-Rec3-2009.08.28.12.20.48_C1 trigger _C_Section_14,11
Sessions/3614,Part_28_Trial3_taggingVideos,P28-Rec4-2009.09.02.19.34.25_C1 trigger _C_Section_4,12
Sessions/3665,Part_29_N_Trial13_emotion,P29-Rec1-2009.09.03.11.51.42_C1 trigger _C_Section_25,20
Sessions/3535,Part_28_N_Trial13_emotion,P28-Rec1-2009.09.02.18.36.41_C1 trigger _C_Section_25,20
Sessions/3549,Part_28_N_Trial20_emotion,P28-Rec1-2009.09.02.18.36.41_C1 trigger _C_Section_39,22
Sessions/3742,Part_29_Trial1_taggingVideos,P29-Rec4-2009.09.03.12.50.04_C1 trigger _C_Section_2,12
Sessions/1778,Part_14_Trial17_taggingImages2,P14-Rec3-2009.08.26.17.27.33_C1 trigger _C_Section_18,11
Sessions/3015,Part_24_N_Trial13_emotion,P24-Rec1-2009.09.01.11.59.10_C1 trigger _C_Section_25,20
Sessions/2368,Part_19_S_Trial14_emotion,P19-Rec1-2009.08.28.16.34.00_C1 trigger _C_Section_28,74
Sessions/3242,Part_25_Trial21_taggingVideos,P25-Rec4-2009.09.01.15.51.22_C1 trigger _C_Section_22,12
Sessions/3660,Part_29_S_Trial10_emotion,P29-Rec1-2009.09.03.11.51.42_C1 trigger _C_Section_20,114
Sessions/3716,Part_29_Trial5_taggingImages2,P29-Rec3-2009.09.03.12.43.59_C1 trigger _C_Section_6,13
Sessions/448,Part_4_Trial17_taggingImages1,P4-Rec2-2009.07.21.18.41.08_C1 trigger _C_Section_18,11
Sessions/3679,Part_29_N_Trial20_emotion,P29-Rec1-2009.09.03.11.51.42_C1 trigger _C_Section_39,22
Sessions/703,Part_6_Trial12_taggingImages1,P6-Rec2-2009.07.22.15.37.28_C1 trigger _C_Section_13,11
Sessions/2556,Part_20_Trial15_taggingImages2,P20-Rec3-2009.08.31.11.33.16_C1 trigger _C_Section_16,11
Sessions/3101,Part_24_Trial10_taggingVideos,P24-Rec4-2009.09.01.13.00.44_C1 trigger _C_Section_11,13
Sessions/1235,Part_10_Trial24_taggingImages1,P10-Rec2-2009.07.23.17.37.56_C1 trigger _C_Section_25,11
Sessions/2236,Part_18_S_Trial13_emotion,P18-Rec1-2009.08.28.11.27.02_C1 trigger _C_Section_26,118
Sessions/2774,Part_22_Trial3_taggingImages1,P22-Rec2-2009.08.31.17.21.53_C1 trigger _C_Section_4,11
Sessions/1327,Part_11_N_Trial14_emotion,P11-Rec1-2009.07.24.10.27.36_C1 trigger _C_Section_27,18
Sessions/570,Part_5_Trial9_taggingImages1,P5-Rec2-2009.07.22.13.04.36_C1 trigger _C_Section_10,11
Sessions/3427,Part_27_Trial6_taggingImages1,P27-Rec2-2009.09.02.17.26.14_C1 trigger _C_Section_7,11
Sessions/1489,Part_12_Trial18_taggingImages1,P12-Rec2-2009.08.26.12.19.18_C1 trigger _C_Section_19,11
Sessions/1103,Part_9_Trial22_taggingImages1,P9-Rec2-2009.07.23.15.39.13_C1 trigger _C_Section_23,11
Sessions/2802,Part_22_Trial1_taggingImages2,P22-Rec3-2009.08.31.17.27.47_C1 trigger _C_Section_2,12
Sessions/1114,Part_9_Trial3_taggingImages2,P9-Rec3-2009.07.23.15.47.12_C1 trigger _C_Section_4,11
Sessions/326,Part_3_Trial25_taggingImages1,P3-Rec2-2009.07.21.16.11.18_C1 trigger _C_Section_26,11
Sessions/344,Part_3_Trial13_taggingImages2,P3-Rec3-2009.07.21.16.19.16_C1 trigger _C_Section_14,11
Sessions/705,Part_6_Trial14_taggingImages1,P6-Rec2-2009.07.22.15.37.28_C1 trigger _C_Section_15,25
Sessions/775,Part_6_Trial24_taggingVideos,P6-Rec4-2009.07.22.15.52.24_C1 trigger _C_Section_25,15
Sessions/1582,Part_13_S_Trial11_emotion,P13-Rec1-2009.08.26.14.28.28_C1 trigger _C_Section_22,131
Sessions/3170,Part_25_Trial9_taggingImages1,P25-Rec2-2009.09.01.15.38.25_C1 trigger _C_Section_10,11
Sessions/424,Part_4_S_Trial17_emotion,P4-Rec1-2009.07.21.17.46.06_C1 trigger _C_Section_34,124
Sessions/1047,Part_9_N_Trial4_emotion,P9-Rec1-2009.07.23.14.55.41_C1 trigger _C_Section_7,23
Sessions/2472,Part_20_S_Trial1_emotion,P20-Rec1-2009.08.31.10.38.29_C1 trigger _C_Section_2,171
Sessions/1619,Part_13_Trial18_taggingImages1,P13-Rec2-2009.08.26.15.20.24_C1 trigger _C_Section_19,12
Sessions/2555,Part_20_Trial14_taggingImages2,P20-Rec3-2009.08.31.11.33.16_C1 trigger _C_Section_15,11
Sessions/1975,Part_16_N_Trial13_emotion,P16-Rec1-2009.08.27.12.02.50_C1 trigger _C_Section_25,20
Sessions/143,Part_2_N_Trial7_emotion,P2-Rec1-2009.07.10.15.42.44_C1 trigger _C_Section_13,21
Sessions/1702,Part_14_S_Trial6_emotion,P14-Rec1-2009.08.26.16.33.03_C1 trigger _C_Section_12,153
Sessions/2162,Part_17_Trial11_taggingImages2,P17-Rec3-2009.08.28.10.31.45_C1 trigger _C_Section_12,11
Sessions/187,Part_2_Trial16_taggingImages1,P2-Rec2-2009.07.10.16.34.31_C1 trigger _C_Section_17,11
Sessions/2923,Part_23_Trial22_taggingImages1,P23-Rec2-2009.09.01.10.51.55_C1 trigger _C_Section_23,11
Sessions/2593,Part_20_Trial22_taggingVideos,P20-Rec4-2009.08.31.11.39.35_C1 trigger _C_Section_23,11
Sessions/3677,Part_29_N_Trial19_emotion,P29-Rec1-2009.09.03.11.51.42_C1 trigger _C_Section_37,20
Sessions/2967,Part_23_Trial6_taggingVideos,P23-Rec4-2009.09.01.11.04.38_C1 trigger _C_Section_7,13
Sessions/3822,Part_30_Trial11_taggingImages1,P30-Rec2-2009.09.03.15.12.12_C1 trigger _C_Section_12,12
